week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-10-28/2024-11-03,2024-10-28,2024-11-03,102391.66620029719,101765.71268268435,-0.006113324851930391,-0.6113324851930391,3,-345.3019606718308,0.02394262421435055,0.006113324851930423,0.6113324851930423
2024-11-04/2024-11-10,2024-11-04,2024-11-10,101851.27271076052,102091.07023374205,0.002354389067503515,0.2354389067503515,0,0.0,0.02216892869306617,0.0021634740378814825,0.21634740378814826
2024-11-11/2024-11-17,2024-11-11,2024-11-17,102302.36988584166,101545.61424771944,-0.007397244452564289,-0.7397244452564289,0,0.0,0.0377621735347426,0.00837375957046913,0.837375957046913
2024-11-18/2024-11-24,2024-11-18,2024-11-24,101733.80399076143,101045.86507103367,-0.006762146825751603,-0.6762146825751603,3,-742.2524068400663,0.03373960560846813,0.006762146825751604,0.6762146825751605
2024-11-25/2024-12-01,2024-11-25,2024-12-01,101045.86507103367,101290.40536442891,0.0024200920366541645,0.24200920366541645,0,0.0,0.00772064439992512,0.0,0.0
2024-12-02/2024-12-08,2024-12-02,2024-12-08,101437.28524724141,102111.30594873904,0.006644703669413055,0.6644703669413055,0,0.0,0.019690408602391987,0.0,0.0
2024-12-09/2024-12-15,2024-12-09,2024-12-15,102096.21596765994,102734.46540308475,0.006251450451669749,0.6251450451669749,0,0.0,0.02886838519127443,0.0008996229543956967,0.08996229543956967
2024-12-16/2024-12-22,2024-12-16,2024-12-22,102743.00559473514,102457.43622828006,-0.002779453110233976,-0.2779453110233976,0,0.0,0.05810244155048299,0.008847989313148077,0.8847989313148077
2024-12-23/2024-12-29,2024-12-23,2024-12-29,102841.46694422244,102169.0247301647,-0.0065386291545456166,-0.6538629154545617,0,0.0,0.03342498627474664,0.006538629154545665,0.6538629154545665
2024-12-30/2025-01-05,2024-12-30,2025-01-05,102083.58478875845,101730.06678828898,-0.0034630249437360705,-0.34630249437360705,2,684.2017172553035,0.0190222926550505,0.0034630249437361065,0.34630249437361066
2025-01-06/2025-01-12,2025-01-06,2025-01-12,101180.6242024875,101058.82125282947,-0.0012038169424045675,-0.12038169424045675,1,-671.2455354595095,0.029612438809700686,0.0012038169424046013,0.12038169424046014
2025-01-13/2025-01-19,2025-01-13,2025-01-19,101058.82125282947,101058.82125282947,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-01-20/2025-01-26,2025-01-20,2025-01-26,101058.82125282947,101058.82125282945,-1.1102230246251565e-16,-1.1102230246251565e-14,0,0.0,6.167200748569479e-16,1.4399450783183782e-16,1.439945078318378e-14
2025-01-27/2025-02-02,2025-01-27,2025-02-02,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-03/2025-02-09,2025-02-03,2025-02-09,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-10/2025-02-16,2025-02-10,2025-02-16,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-17/2025-02-23,2025-02-17,2025-02-23,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-02-24/2025-03-02,2025-02-24,2025-03-02,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-03-03/2025-03-09,2025-03-03,2025-03-09,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-03-10/2025-03-16,2025-03-10,2025-03-16,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
2025-03-17/2025-03-23,2025-03-17,2025-03-23,101058.82125282945,101058.82125282945,0.0,0.0,0,0.0,0.0,0.0,0.0
